title,rent_eur,size_sqm,eur_per_sqm,location,rooms,source,url,scraped_date
wunderschönes modernes ein Zimmer Apartment im Herzen Münchens (Viktualienmarkt),1490,32,46.6,München Ludwigsvorstadt-Isarvorstadt | Rumfordstraße 32,1,wg-gesucht.de,,2026-03-18
"Erstbezug Schwabing**möbl. 1,5 Zimmer Wohnung mit Nolte Küche am Olympiapark",1490,27,55.2,München Schwabing-West | Lerchenauerstrasse 12,1,wg-gesucht.de,,2026-03-18
"Leonhard-Frank-Straße, Munich",1490,28,53.2,München Schwabing-West | Leonhard-Frank-Straße,1,wg-gesucht.de,,2026-03-18
"Voll möbliertes, ein Zimmer Apartment an der Theresienhöhe München",1490,32,46.6,München Schwanthalerhöhe | Theresienhöhe 6,1,wg-gesucht.de,,2026-03-18
"Triebstraße, Munich",1499,39,38.4,München Moosach | Triebstraße,1,wg-gesucht.de,,2026-03-18
Modernes & wundervolles Loft in ruhiger Umgebung,1500,25,60.0,München | Schneeglöckchenstraße,1,wg-gesucht.de,,2026-03-18
"Buchnerstraße, Munich",1500,70,21.4,München Berg am Laim | Buchnerstraße,1,wg-gesucht.de,,2026-03-18
Apartment mit Garten Nähe Ostbahnhof vollmöbliert,1500,45,33.3,München Obergiesing-Fasangarten | Görzerstrasse,1,wg-gesucht.de,,2026-03-18
Nachmieter gesucht – 2-Zimmer-Wohnung in der Schwanthalerhöhe (München),1500,52,28.8,München Schwanthalerhöhe | Ligsalzstraße,1,wg-gesucht.de,,2026-03-18
"Helle und attraktive 1,5-Zimmer-Wohnung in München Harlaching",1540,54,28.5,München Untergiesing-Harlaching | Geiselgasteigstraße 88C,1,wg-gesucht.de,,2026-03-18
"Ringseisstraße, Munich",1580,21,75.2,München | Ringseisstraße,1,wg-gesucht.de,,2026-03-18
"Gotthardstraße, Munich",1590,30,53.0,München | Gotthardstraße,1,wg-gesucht.de,,2026-03-18
Erstbezug nach Sanierung: Hochwertig möbliertes Appartement mit Balkon,1590,42,37.9,München Obergiesing-Fasangarten | Arzberger Straße 28,1,wg-gesucht.de,,2026-03-18
"Reisingerstraße, Munich",1595,30,53.2,München | Reisingerstraße,1,wg-gesucht.de,,2026-03-18
"Emil-Riedel-Straße, Munich",1600,40,40.0,München Altstadt-Lehel | Emil-Riedel-Straße,1,wg-gesucht.de,,2026-03-18
Stilvolles Zimmer inklusive Reinigungsservice!,1600,24,66.7,München | Waldmeisterstraße,1,wg-gesucht.de,,2026-03-18
"Fallmerayerstraße, Munich",1600,40,40.0,München Schwabing-West | Fallmerayerstraße,1,wg-gesucht.de,,2026-03-18
Exklusive 1-Zimmer-Designwohnung im Erstbezug mit TUM-Blick,1600,35,45.7,München Maxvorstadt | Augustenstraße,1,wg-gesucht.de,,2026-03-18
Möbliertes 1-Zimmer-Apartment am Sendlinger Tor – Kurzzeitmiete,1600,33,48.5,München Ludwigsvorstadt-Isarvorstadt | Holzstraße,1,wg-gesucht.de,,2026-03-18
Wellness-Oase mitten in Schwabing,1610,41,39.3,München Schwabing-West | Schleißheimer Straße 184,1,wg-gesucht.de,,2026-03-18
"Rümannstraße, Munich",1620,35,46.3,München Schwabing-West | Rümannstraße,1,wg-gesucht.de,,2026-03-18
"Leinweberweg, Munich",1640,33,49.7,München | Leinweberweg,1,wg-gesucht.de,,2026-03-18
Komfort - Studio Apartment,1650,19,86.8,München Moosach | Triebstrasse 14,1,wg-gesucht.de,,2026-03-18
"Bright, Modern 1-Room Flat at Isartor (Short-term)",1650,40,41.2,München Altstadt-Lehel | Rumfordstraße,1,wg-gesucht.de,,2026-03-18
"Leonrodstraße, Munich",1680,56,30.0,München Maxvorstadt | Leonrodstraße,1,wg-gesucht.de,,2026-03-18
"Reisingerstraße, Munich",1689,30,56.3,München | Reisingerstraße,1,wg-gesucht.de,,2026-03-18
"Reisingerstraße, Munich",1690,30,56.3,München | Reisingerstraße,1,wg-gesucht.de,,2026-03-18
"Schicke, großartige Wohnung in München",1700,24,70.8,München | Waldmeisterstraße,1,wg-gesucht.de,,2026-03-18
"Schöne, helle 1-Zimmer-Wohnung in Top-Lage von München mit Balkon",1700,36,47.2,München Maxvorstadt | Zieblandstraße,1,wg-gesucht.de,,2026-03-18
"Von-Reuter-Straße, Munich",1790,15,119.3,München | Von-Reuter-Straße,1,wg-gesucht.de,,2026-03-18
"Dietzfelbingerplatz, Munich",1800,40,45.0,München | Dietzfelbingerplatz,1,wg-gesucht.de,,2026-03-18
möblierte 1 Zimmer_Apartment,1800,50,36.0,München Neuhausen-Nymphenburg | Dachauer Str. 239,1,wg-gesucht.de,,2026-03-18
"Bleibtreustraße, Munich",1850,50,37.0,München | Bleibtreustraße,1,wg-gesucht.de,,2026-03-18
"Nymphenburger Straße, Munich",1890,46,41.1,München Maxvorstadt | Nymphenburger Straße,1,wg-gesucht.de,,2026-03-18
"Lily-Braun-Weg, Munich",1900,46,41.3,München Moosach | Lily-Braun-Weg,1,wg-gesucht.de,,2026-03-18
"Vintschgauer Straße, Munich",1900,85,22.4,München | Vintschgauer Straße,1,wg-gesucht.de,,2026-03-18
"Planegger Straße, Munich",1900,65,29.2,München | Planegger Straße,1,wg-gesucht.de,,2026-03-18
"Sehr schöne, helle 1-Zimmer-Wohnung in Top-Lage von München",1900,44,43.2,München Schwabing-West | Marktstraße 1,1,wg-gesucht.de,,2026-03-18
"Winzererstraße, Munich",1980,37,53.5,München Maxvorstadt | Winzererstraße,1,wg-gesucht.de,,2026-03-18
"Lindwurmstraße, Munich",1999,54,37.0,München | Lindwurmstraße,1,wg-gesucht.de,,2026-03-18
"Schmorellplatz, Munich",2150,57,37.7,München | Schmorellplatz,1,wg-gesucht.de,,2026-03-18
"Elektrastraße, Munich",2190,52,42.1,München Bogenhausen | Elektrastraße,1,wg-gesucht.de,,2026-03-18
"Rümannstraße, Munich",2235,60,37.2,München Schwabing-West | Rümannstraße,1,wg-gesucht.de,,2026-03-18
Brasilianisches Flair inmitten von München,2250,25,90.0,München | Baierbrunner Straße,1,wg-gesucht.de,,2026-03-18
"Ungererstraße, Munich",2300,60,38.3,München | Ungererstraße,1,wg-gesucht.de,,2026-03-18
"Schleißheimer Straße, Munich",2300,60,38.3,München Schwabing-West | Schleißheimer Straße,1,wg-gesucht.de,,2026-03-18
"Schwanthalerstraße, Munich",2400,45,53.3,München Altstadt-Lehel | Schwanthalerstraße,1,wg-gesucht.de,,2026-03-18
"Erzgießereistraße, Munich",2450,60,40.8,München Altstadt-Lehel | Erzgießereistraße,1,wg-gesucht.de,,2026-03-18
"Camerloherstraße, Munich",2495,62,40.2,München | Camerloherstraße,1,wg-gesucht.de,,2026-03-18
"Oberföhringer Straße, Munich",2500,100,25.0,München Bogenhausen | Oberföhringer Straße,1,wg-gesucht.de,,2026-03-18
"Aindorferstraße, Munich",2500,17,147.1,München Hadern | Aindorferstraße,1,wg-gesucht.de,,2026-03-18
"Wolfratshauser Straße, Munich",2850,12,237.5,München | Wolfratshauser Straße,1,wg-gesucht.de,,2026-03-18
"Arnulfstraße, Munich",2850,50,57.0,München Neuhausen-Nymphenburg | Arnulfstraße,1,wg-gesucht.de,,2026-03-18
"Hildeboldstraße, Munich",3100,100,31.0,München Maxvorstadt | Hildeboldstraße,1,wg-gesucht.de,,2026-03-18
"Landsberger Straße, Munich",3580,78,45.9,München | Landsberger Straße,1,wg-gesucht.de,,2026-03-18
